X--Trace 1::[V(vout)],Y--Trace 1::[V(vout)]
0.001385488,0.344252105
0.001395973,0.30263543
0.001416945,0.241045976
0.001441945,0.194627585
0.001466945,0.166776551
0.001491945,0.150065931
0.0015,0.146328815
0.0015,0.146328923
0.0015,0.146329437
0.001500001,0.146332267
0.001500001,0.146335964
0.001500001,0.146337002
0.001500001,0.146338821
0.001500002,0.146340925
0.001500002,0.146340473
0.001500002,0.146340126
0.001500002,0.146339431
0.001500002,0.146338042
0.001500003,0.146335263
0.001500004,0.146329706
0.001500006,0.146318593
0.00150001,0.146296367
0.001500018,0.146251922
0.001500035,0.146163053
0.001500067,0.145985401
0.001500133,0.145630448
0.001500264,0.144921935
0.001500526,0.143510467
0.001501051,0.140709615
0.001502099,0.135195105
0.001504196,0.1245059
0.001508391,0.10441836
0.001516779,0.068907235
0.001533556,0.013190484
0.001558556,-0.04208571
0.001583556,-0.075251426
0.001608556,-0.095150856
0.001625001,-0.103581613
0.001625001,-0.103581705
0.001625001,-0.103581991
0.001625002,-0.103583162
0.001625002,-0.103584566
0.001625002,-0.103585
0.001625002,-0.103585869
0.001625003,-0.103587606
0.001625003,-0.10359108
0.001625004,-0.103598028
0.001625007,-0.103611923
0.001625012,-0.103639712
0.001625022,-0.103695281
0.001625043,-0.103806384
0.001625084,-0.104028455
0.001625166,-0.104472052
0.00162533,-0.105357068
0.001625657,-0.107118428
0.001626313,-0.110606744
0.001627623,-0.117447985
0.001630245,-0.130606194
0.001635488,-0.154956105
0.001645973,-0.196723071
0.001666945,-0.258534945
0.001691945,-0.305120967
0.001716945,-0.33307258
0.001741945,-0.349843548
0.00175,-0.353594159
0.00175,-0.353594152
0.00175,-0.353594038
0.001750001,-0.353593209
0.001750001,-0.353592062
0.001750001,-0.353591761
0.001750001,-0.353591285
0.001750002,-0.353591102
0.001750002,-0.353592523
0.001750002,-0.35359287
0.001750002,-0.353593565
0.001750002,-0.353594954
0.001750003,-0.353597733
0.001750004,-0.353603292
0.001750006,-0.353614408
0.00175001,-0.353636639
0.001750018,-0.353681095
0.001750035,-0.353769987
0.001750067,-0.353947682
0.001750133,-0.354302723
0.001750264,-0.355011411
0.001750526,-0.356423227
0.001751051,-0.359224771
0.001752099,-0.364740643
0.001754196,-0.375432488
0.001758391,-0.395524987
0.001766779,-0.431044881
0.001783556,-0.486775391
0.001808556,-0.542065235
0.001833556,-0.575239141
0.001858556,-0.595143484
0.001875001,-0.603576323
0.001875001,-0.603576416
0.001875001,-0.603576702
0.001875002,-0.603577873
0.001875002,-0.603579277
0.001875002,-0.603579711
0.001875002,-0.603580579
0.001875003,-0.603582316
0.001875003,-0.603585791
0.001875004,-0.603592739
0.001875007,-0.603606634
0.001875012,-0.603634424
0.001875022,-0.603689994
0.001875043,-0.603801099
0.001875084,-0.604023175
0.001875166,-0.60446678
0.00187533,-0.605351813
0.001875657,-0.607113207
0.001876313,-0.610601592
0.001877623,-0.617442966
0.001880245,-0.630601431
0.001885488,-0.654951817
0.001895973,-0.696719596
0.001916945,-0.758532675
0.001941945,-0.805119605
0.001966945,-0.833071763
0.001991945,-0.849843057
0.002,-0.853593742
0.002,-0.853593434
0.002,-0.85359212
0.002000001,-0.853585291
0.002000001,-0.853576495
0.002000001,-0.853573729
0.002000001,-0.853568198
0.002000002,-0.853557135
0.002000002,-0.85353501
0.002000003,-0.85349076
0.002000006,-0.853402263
0.002000011,-0.853225284
0.002000021,-0.85287138
0.002000042,-0.852163788
0.002000083,-0.850749475
0.002000165,-0.847924321
0.002000329,-0.842287878
0.002000656,-0.831070218
0.002001312,-0.808854011
0.002002622,-0.765283871
0.002005244,-0.681482557
0.002010487,-0.526404108
0.002020972,-0.260400831
0.002041944,0.133263417
0.002066944,0.42995805
0.002091944,0.60797483
0.002116944,0.714784898
0.002125001,0.738677084
0.002125001,0.738677307
0.002125001,0.738677652
0.002125002,0.738677743
0.002125002,0.738677286
0.002125002,0.738677104
0.002125002,0.73867674
0.002125003,0.738676013
0.002125003,0.738674558
0.002125004,0.738671648
0.002125007,0.738665828
0.002125012,0.738654189
0.002125022,0.738630915
0.002125043,0.738584381
0.002125084,0.738491371
0.002125166,0.738305579
0.00212533,0.737934907
0.002125657,0.737197194
0.002126313,0.735736178
0.002127623,0.732870851
0.002130245,0.727359782
0.002135488,0.717161276
0.002145973,0.699667962
0.002166945,0.673779213
0.002191945,0.654267528
0.002216945,0.642560516
0.002241945,0.63553631
0.00225,0.633965436
0.00225,0.633965468
0.00225,0.633965632
0.002250001,0.633966561
0.002250001,0.633967782
0.002250001,0.633968104
0.002250001,0.633968619
0.002250002,0.633968881
0.002250002,0.63396757
0.002250002,0.633967239
0.002250002,0.633966576
0.002250002,0.63396525
0.002250003,0.633962598
0.002250004,0.633957295
0.002250006,0.633946688
0.00225001,0.633925476
0.002250018,0.633883057
0.002250035,0.63379824
0.002250067,0.63362869
0.002250133,0.633289922
0.002250264,0.632613717
0.002250526,0.63126661
0.002251051,0.628593475
0.002252099,0.623330422
0.002254196,0.613128636
0.002258391,0.593957072
0.002266779,0.560065225
0.002283556,0.506889111
0.002308556,0.454133467
0.002333556,0.42248008
0.002358556,0.403488048
0.002375001,0.395441726
0.002375001,0.395441636
0.002375001,0.395441354
0.002375002,0.39544019
0.002375002,0.395438793
0.002375002,0.39543836
0.002375002,0.395437494
0.002375003,0.395435764
0.002375003,0.395432302
0.002375004,0.395425379
0.002375007,0.395411534
0.002375012,0.395383845
0.002375022,0.395328476
0.002375043,0.395217772
0.002375084,0.3949965
0.002375166,0.3945545
0.00237533,0.393672669
0.002375657,0.391917647
0.002376313,0.388441882
0.002377623,0.381625258
0.002380245,0.368514397
0.002385488,0.344252105
0.002395973,0.30263543
0.002416945,0.241045976
0.002441945,0.194627585
0.002466945,0.166776551
0.002491945,0.150065931
0.0025,0.146328815
0.0025,0.146328923
0.0025,0.146329437
0.002500001,0.146332267
0.002500001,0.146335964
0.002500001,0.146337002
0.002500001,0.146338821
0.002500002,0.146340925
0.002500002,0.146340473
0.002500002,0.146340126
0.002500002,0.146339431
0.002500002,0.146338042
0.002500003,0.146335263
0.002500004,0.146329706
0.002500006,0.146318593
0.00250001,0.146296367
0.002500018,0.146251922
0.002500035,0.146163053
0.002500067,0.145985401
0.002500133,0.145630448
0.002500264,0.144921935
0.002500526,0.143510467
0.002501051,0.140709615
0.002502099,0.135195105
0.002504196,0.1245059
0.002508391,0.10441836
0.002516779,0.068907235
0.002533556,0.013190484
0.002558556,-0.04208571
0.002583556,-0.075251426
0.002608556,-0.095150856
0.002625001,-0.103581613
0.002625001,-0.103581705
0.002625001,-0.103581991
0.002625002,-0.103583162
0.002625002,-0.103584566
0.002625002,-0.103585
0.002625002,-0.103585869
0.002625003,-0.103587606
0.002625003,-0.10359108
0.002625004,-0.103598028
0.002625007,-0.103611923
0.002625012,-0.103639712
0.002625022,-0.103695281
0.002625043,-0.103806384
0.002625084,-0.104028455
0.002625166,-0.104472052
0.00262533,-0.105357068
0.002625657,-0.107118428
0.002626313,-0.110606744
0.002627623,-0.117447985
0.002630245,-0.130606194
0.002635488,-0.154956105
0.002645973,-0.196723071
0.002666945,-0.258534945
0.002691945,-0.305120967
0.002716945,-0.33307258
